0742,Veterinary services
0763,Agricultural co-operative
0780,Landscaping and horticultural services
1520,General contractors - residential & commercial
1711,Heating, plumbing, and air conditioning contractors
1731,Electrical contractors
1740,Masonry, stonework, tile setting, plastering & insulation contractors
1750,Carpentry contractors
1761,Roofing and siding contractors
1771,Concrete work contractors
1799,Special trade contractors (not elsewhere classified)
2741,Miscellaneous publishing and printing
2791,Typesetting, plate making, and related services
2842,Specialty cleaning, polishing, & sanitation preparations
3357,Hertz
3359,Payless car rental
3366,Budget rent-a-car
3370,Rent-a-wreck
3385,Tropical rent-a-car
3389,Avis rent-a-car
3390,Dollar rent-a-car
3393,National car rental
3395,Thrifty car rental
3398,Econo-car rent-a-car
3501,Holiday Inns
3502,Best Western
3503,Sheraton
3504,Hilton
3506,Golden Tulip
3507,Friendship Inns
3508,Quality International
3509,Marriott
3510,Days Inns
3512,Intercontinental
3515,Rodeway Inns
3516,La Quinta Motor Inns
3517,Americana Hotels
3520,Meridien
3527,Downtowner Passport
3528,Red Lion
3535,Hilton International
3536,AMFAC Hotels
3539,Summerfield Suites Hotels
3542,Royal Hotels
3543,Four Seasons Hotels
3546,Hotel Sierra
3550,Regal 8 Inns
3562,Comfort Hotel International
3565,Relax Inns
3573,Sandman Hotels
3574,Venture Inn
3575,Vagabond Hotels
3579,Hotel Mercure
3588,Helmsley Hotels
3590,Fairmont Hotels Corporation
3591,Sonesta International Hotels
3592,Omni International
3595,Hospitality Inns
3615,Travelodge Motels
3631,Sleep Inn
3637,Ramada Inns
3638,Howard Johnson
3641,Sofitel Hotels
3644,Econo-Travel Motor Hotel
3648,De Vere Hotels
3649,Radisson
3650,Red Roof Inns
3652,Embassy Hotels
3654,Loews Hotels
3660,Knights Inns
3665,Hampton Inns
3681,Adams Mark
3684,Budget Host Inn
3685,Budgetel
3687,Clarion Hotel
3690,Courtyard by Marriott
3692,Doubletree
3693,Drury Inn
3694,Economy Inns of America
3695,Embassy Suites
3699,Midway Motor Lodge
3700,Motel 6
3703,Residence Inns
3704,Royce Hotel
3705,Sandman Inns
3706,Shilo inns
3707,Shoney's Inns
3709,Super 8 Motels
3715,Fairfield Inns
3716,Carlton Hotels
3722,Wyndham
3731,Harrah's Hotels and Casinos
3738,Tropicana Resort and Casino
3742,Club Med
3747,Club Corp / Club Resorts
3748,Wellesley Inns
3750,Crowne Plaza Hotels
3773,The Venetian Resort Hotel Casino
3783,Town and Country Resort
4011,Freight Railways
4111,Local passenger transportation
4112,Passenger railways
4119,Ambulance services
4121,Taxicabs and limousines
4131,Bus lines
4214,Motor freight carriers and trucking
4215,Courier services
4225,Public warehousing and storage
4411,Steamship and cruise lines
4457,Boat rentals and leasing
4468,Marinas, marine service, and supplies
4511,Airlines and air carriers (not elsewhere classified)
4582,Airports, flying fields, and airport terminals
4722,Travel agencies and tour operators
4784,Toll and bridge fees
4789,Transportation services (not elsewhere classified)
4812,Telecommunication equipment and telephone sales
4814,Telecommunication service
4815,Visaphone
4816,Computer network / information services
4821,Telegraph services
4829,Wire Transfer Money Orders (WTMOS)
4899,Cable, satellite and other pay television, and radio services
4900,Utilities - electric, gas, water, sanitary
5013,Motor vehicle supplies and new parts
5021,Office and commercial furniture
5039,Construction materials (not elsewhere classified)
5044,Photographic, photocopy, microfilm equipment and supplies
5045,Computers and computer peripheral equipment and services
5046,Commercial equipment (not elsewhere classified)
5047,Medical, dental, ophthalmic, and hospital equipment and supplies
5051,Metal service centers and offices
5065,Electrical parts and equipment
5072,Hardware, equipment and supplies
5074,Plumbing and heating equipment and supplies
5085,Industrial supplies (not elsewhere classified)
5094,Precious stones, metals, watches, and jewelry
5099,Durable goods (not elsewhere classified)
5111,Stationery, office supplies, printing, and writing paper
5122,Drugs, drug proprietaries, and druggist sundries
5131,Piece goods, notions, and other dry goods
5137,Men's, women's, and children's uniforms, and commercial clothing
5139,Commercial footwear
5169,Chemicals and allied products (not elsewhere classified)
5172,Petroleum and petroleum products
5192,Books, periodicals, and newspapers
5193,Florist supplies, nursery stock, and flowers
5198,Paint, varnishes, and supplies
5199,Nondurable goods (not elsewhere classified)
5200,Home supply warehouse stores
5211,Lumber and building materials stores
5231,Glass, paint, and wallpaper stores
5251,Hardware stores
5261,Nurseries and lawn and garden supply stores
5271,Mobile home dealers
5300,Wholesale clubs
5309,Duty free stores
5310,Discount stores
5311,Department stores
5331,Variety stores
5399,Miscellaneous general merchandise
5411,Grocery stores and supermarkets
5422,Freezer and locker meat provisioners
5441,Candy, nut, and confectionery stores
5451,Dairy products stores
5462,Bakeries
5499,Miscellaneous food stores - convenience stores and specialty markets
5511,Car and truck dealers (new and used) sales, service, repairs, parts, and leasing
5521,Car and truck dealers (used only) sales, service, repairs, parts, and leasing
5531,Auto and home supply stores (no longer valid MCC)
5532,Automotive tire stores
5533,Automotive parts and accessories stores
5541,Service stations
5542,Automated fuel dispensers
5551,Boat dealers
5561,Camper, recreational and utility trailer dealers
5571,Motorcycle shops and dealers
5592,Motor homes dealers
5598,Snowmobile dealers
5599,Miscellaneous automotive, aircraft, and farm equipment dealers (not elsewhere classified)
5611,Men's and boy's clothing and accessories stores
5621,Women's ready-to-wear stores
5631,Women's accessory and specialty shops
5641,Children's and infant's wear stores
5651,Family clothing stores
5655,Sports and riding apparel stores
5661,Shoe stores
5681,Furriers and fur shops
5691,Men's and women's clothing stores
5697,Tailors, seamstresses, mending and alterations
5698,Wig and toupee stores
5699,Miscellaneous apparel and accessory shops
5712,Furniture, home furnishings, and equipment stores, excepting appliances
5713,Floor covering stores
5714,Drapery, window covering, and upholstery stores
5718,Fireplace, fireplace screens and accessories stores
5719,Miscellaneous home furnishing specialty stores
5722,Household appliance stores
5732,Electronics stores
5733,Music stores - musical instruments, pianos, and sheet music
5734,Computer software stores
5735,Record stores
5811,Caterers
5812,Eating places & restaurants
5813,Drinking places - bars, taverns, nightclubs, cocktail lounges, and discotheques
5814,Fast food restaurants
5912,Drug stores and pharmacies
5921,Package stores - beer, wine, and liquor
5931,Used merchandise and secondhand stores
5932,Antique shops - sales, repairs, and restoration services
5933,Pawn shops
5935,Wrecking and salvage yards
5937,Antique reproductions
5940,Bicycle shops - sales and service
5941,Sporting goods stores
5942,Book stores
5943,Stationery stores, office and school supply stores
5944,Jewelry stores, watches, clocks, and silverware stores
5945,Hobby, toy, and game shops
5946,Camera and photographic supply stores
5947,Gift, card, novelty and souvenir shops
5948,Luggage and leather goods stores
5949,Sewing needlework, fabric, and piece goods stores
5950,Glassware / crystal stores
5960,Direct marketing - insurance services
5962,Direct marketing - travel-related arrangement services (high risk MCC)
5963,Door-to-door sales
5964,Direct marketing - catalog merchant
